20170101 1 251.795300
20170102 2 252.181768
20170103 3 253.405303
20170104 4 252.261580
20170105 5 252.158860
20170106 6 250.644284
20170107 7 248.864054
20170108 8 248.028283
20170109 9 248.897952
20170110 10 248.641949
20170111 11 249.754821
20170112 12 250.530337
20170113 13 251.023745
20170114 14 251.693598
20170115 15 250.493780
20170116 16 252.685987
20170117 17 257.659339
20170118 18 257.878043
20170119 19 257.749254
20170120 20 256.250833
20170121 21 254.759161
20170122 22 254.025455
20170123 23 251.583221
20170124 24 249.530601
20170125 25 248.673390
20170126 26 249.120627
20170127 27 249.828295
20170128 28 249.599189
20170129 29 250.385238
20170130 30 249.954369
20170131 31 251.133390
20170201 32 250.889607
20170202 33 251.046761
20170203 34 251.363254
20170204 35 250.706216
20170205 36 251.036815
20170206 37 250.484282
20170207 38 249.887262
20170208 39 248.955490
20170209 40 254.597087
20170210 41 255.752567
20170211 42 258.139138
20170212 43 254.402994
20170213 44 252.045403
20170214 45 250.489748
20170215 46 249.610872
20170216 47 248.680255
20170217 48 248.080877
20170218 49 247.300245
20170219 50 245.386394
20170220 51 244.377557
20170221 52 244.048459
20170222 53 243.813959
20170223 54 244.956923
20170224 55 245.498157
20170225 56 246.119481
20170226 57 247.332641
20170227 58 247.877618
20170228 59 249.193172
20170301 60 249.695350
20170302 61 250.548663
20170303 62 248.000238
20170304 63 248.482081
20170305 64 249.867253
20170306 65 247.204390
20170307 66 246.847912
20170308 67 246.691733
20170309 68 247.231859
20170310 69 248.652326
20170311 70 250.846242
20170312 71 252.002930
20170313 72 251.984167
20170314 73 250.133930
20170315 74 249.313504
20170316 75 248.218638
20170318 77 251.436859
20170319 78 252.849412
20170320 79 251.971018
20170321 80 251.180756
20170322 81 251.038066
20170323 82 250.779994
20170324 83 250.776361
20170325 84 250.886031
20170326 85 250.160181
20170327 86 250.267439
20170328 87 250.534459
20170329 88 252.245356
20170330 89 252.969422
20170331 90 253.585537
20170401 91 253.125877
20170402 92 252.397334
20170403 93 253.588603
20170404 94 254.077831
20170405 95 252.841413
20170406 96 251.598811
20170407 97 250.802139
20170408 98 250.843243
20170409 99 251.118760
20170410 100 251.776817
20170411 101 252.606653
20170412 102 253.959682
20170413 103 253.816971
20170414 104 254.492256
20170415 105 255.730043
20170416 106 257.496479
20170417 107 257.486257
20170418 108 256.932217
20170419 109 258.409095
20170420 110 258.964283
20170421 111 259.661150
20170422 112 260.366818
20170423 113 260.260334
20170424 114 259.569850
20170425 115 258.485292
20170426 116 258.475245
20170427 117 258.581948
20170428 118 258.885972
20170429 119 258.893649
20170430 120 258.431558
20170501 121 258.672865
20170502 122 258.901750
20170503 123 259.186584
20170504 124 259.618104
20170505 125 260.023774
20170506 126 260.600384
20170507 127 260.894430
20170508 128 260.637287
20170509 129 260.429698
20170510 130 260.833777
20170511 131 261.270883
20170512 132 261.760669
20170513 133 261.827259
20170514 134 262.649597
20170515 135 262.988542
20170516 136 262.888688
20170517 137 263.708434
20170518 138 263.755545
20170519 139 263.602657
20170520 140 264.181621
20170521 141 264.870799
20170522 142 265.584599
20170523 143 265.969053
20170524 144 266.197178
20170525 145 266.828827
20170526 146 268.060608
20170527 147 268.445058
20170528 148 268.737782
20170529 149 269.016929
20170530 150 269.423639
20170531 151 270.788662
20170601 152 271.205837
20170602 153 271.420949
20170603 154 271.502109
20170604 155 271.468373
20170605 156 271.333025
20170606 157 271.667072
20170607 158 272.172715
20170608 159 272.450405
20170609 160 272.769583
20170610 161 273.067013
20170611 162 273.120899
20170612 163 273.125663
20170613 164 273.153728
20170614 165 273.315510
20170615 166 273.356219
20170616 167 273.264166
20170617 168 273.307340
20170618 169 273.347149
20170619 170 273.602901
20170620 171 273.508870
20170621 172 273.667559
20170622 173 273.556872
20170623 174 273.829846
20170624 175 274.031119
20170625 176 273.872502
20170626 177 273.810158
20170627 178 273.426554
20170628 179 273.504918
20170629 180 273.384385
20170630 181 273.171211
20170701 182 273.484307
20170702 183 273.567832
20170703 184 273.831185
20170704 185 273.993972
20170705 186 273.826283
20170706 187 274.083377
20170707 188 274.322077
20170708 189 274.245888
20170709 190 274.040978
20170710 191 273.969676
20170711 192 274.052068
20170712 193 273.845813
20170713 194 273.851529
20170714 195 273.736320
20170715 196 273.873053
20170716 197 274.233972
20170717 198 274.009925
20170718 199 274.141846
20170719 200 273.897295
20170720 201 273.801846
20170721 202 274.113962
20170722 203 273.994926
20170723 204 274.120282
20170724 205 274.190001
20170725 206 274.036707
20170726 207 274.149984
20170727 208 274.079185
20170728 209 273.983063
20170729 210 273.615903
20170730 211 274.053876
20170731 212 273.993684
20170801 213 273.965632
20170802 214 273.854955
20170803 215 273.942973
20170804 216 273.518446
20170805 217 273.413567
20170806 218 273.512867
20170807 219 273.648467
20170808 220 273.322298
20170809 221 273.255287
20170810 222 273.249607
20170811 223 273.281821
20170812 224 273.187345
20170813 225 273.038757
20170814 226 272.807444
20170815 227 272.535800
20170816 228 272.440504
20170817 229 272.282783
20170818 230 272.750156
20170819 231 273.114492
20170820 232 273.188985
20170821 233 272.960054
20170822 234 272.733025
20170823 235 272.636965
20170824 236 272.653141
20170825 237 272.623108
20170826 238 272.443467
20170827 239 272.119330
20170828 240 271.542862
20170829 241 271.101874
20170830 242 271.354112
20170831 243 271.167999
20170901 244 270.570014
20170902 245 270.060954
20170903 246 269.800122
20170904 247 269.719677
20170905 248 269.466474
20170906 249 269.807631
20170907 250 270.675913
20170908 251 270.905247
20170909 252 270.250236
20170910 253 269.203505
20170911 254 269.355573
20170912 255 269.929382
