ERA40,1960s,1980s,2000s,2010s,C20156,C20167,C20178,C201920
1441,1481.4,1470.9,1273,1178.1,1133,759.4,1053.9,1050.5
1467.5,1508.6,1498.7,1296.1,1199.4,1158.3,777.1,1074.3,1074.9
1494.4,1536.4,1526.4,1318.9,1220,1184.8,794.8,1095,1098.6
1521.4,1564,1554.2,1341.2,1240.4,1211.8,812.4,1113.5,1122.0
1548.2,1591.3,1581.5,1363.6,1261.1,1238.6,829.7,1129.7,1142.3
1574.7,1619.3,1608.9,1387.4,1282.6,1263.7,846.9,1148,1159.6
1601.6,1647.8,1636.3,1412,1304.9,1286.2,865.7,1167.7,1175.9
1629.1,1676.1,1664.3,1436.3,1328.5,1306,886.6,1188.6,1194.7
1657,1703.9,1692.3,1460.3,1352.6,1324.6,908.1,1210,1215.3
1684.5,1731.6,1719.8,1484.2,1376.7,1346.3,928.7,1231.5,1236.7
1711.9,1759.7,1746.2,1508.6,1400.6,1371.3,948.3,1251.7,1258.5
1739.2,1787.6,1771.7,1533,1423.9,1398.3,966.9,1271.9,1279.6
1766.4,1815.4,1796.6,1556.9,1446.5,1426.1,985.5,1291.6,1300.6
1793.3,1843.2,1821.8,1581,1468.6,1453,1003.4,1310.3,1322.7
1820.8,1871.2,1847.5,1605.2,1490.7,1478.1,1020.9,1329.2,1345.9
1848.7,1900.4,1872.9,1630.2,1513.6,1502.6,1039.8,1350.1,1369.0
1877.1,1929.6,1898.2,1655.2,1537.7,1528.2,1059.4,1372.8,1392.7
1905.3,1957.6,1923.8,1679.9,1561.8,1554.6,1078.9,1396.2,1416.1
1933.4,1984.8,1950.3,1704.7,1585.5,1581.6,1099,1419.9,1439.4
1961.5,2010.7,1977.5,1730,1608,1608.9,1118.8,1442.6,1463.5
1989.8,2036.6,2005.2,1755.9,1630.3,1636.7,1138.9,1462.9,1487.8
2018.1,2063,2032.2,1781.6,1652.7,1665.1,1158.6,1481.2,1512.6
2046.2,2090.3,2059.8,1807,1674.1,1693.2,1177.2,1500.3,1537.5
2074.2,2118.1,2086.9,1832.7,1695.3,1720.8,1194.8,1521.6,1561.1
2102.5,2145.8,2113.4,1858.9,1717.1,1748.3,1209.3,1543.8,1583.9
2130.7,2173.5,2140.7,1885.1,1739,1776.2,1220.7,1565.4,1606.9
2158.9,2202.3,2168.9,1910.8,1762.3,1805.2,1232.7,1584.1,1629.6
2187.7,2231.6,2197.5,1935.7,1786.7,1833.2,1245.5,1602,1653.6
2216.9,2261.1,2225.9,1960.3,1811.6,1861.7,1260,1621,1679.0
2246.3,2290.9,2254.5,1986,1837,1890.5,1276,1641.9,1704.9
